TIME   MODE  ANGLE   RATE   RETRACT  CH  SSM  DATA
  0.00  1      0.00    0.00    1      1    0   -2147483642
  0.02  1      0.00    0.00    1      1    0   -2147483642
  0.04  1      0.00    0.00    1      1    0   -2147483642
  0.06  1      0.00    0.00    1      1    0   -2147483642
  0.08  1      0.00    0.00    1      1    0   -2147483642
  0.10  1      0.00    0.00    1      1    0   -2147483642
  0.12  1      0.00    0.00    1      1    0   -2147483642
  0.14  1      0.00    0.00    1      1    0   -2147483642
  0.16  1      0.00    0.00    1      1    0   -2147483642
  0.18  1      0.00    0.00    1      1    0   -2147483642
  0.20  1      0.00    0.00    1      1    0   -2147483642
  0.22  1      0.00    0.00    1      1    0   -2147483642
  0.24  1      0.00    0.00    1      1    0   -2147483642
  0.26  1      0.00    0.00    1      1    0   -2147483642
  0.28  1      0.00    0.00    1      1    0   -2147483642
  0.30  1      0.00    0.00    1      1    0   -2147483642
  0.32  1      0.00    0.00    1      1    0   -2147483642
  0.34  1      0.00    0.00    1      1    0   -2147483642
  0.36  1      0.00    0.00    1      1    0   -2147483642
  0.38  1      0.00    0.00    1      1    0   -2147483642
  0.40  1      0.00    0.00    1      1    0   -2147483642
  0.42  1      0.00    0.00    1      1    0   -2147483642
  0.44  1      0.00    0.00    1      1    0   -2147483642
  0.46  1      0.00    0.00    1      1    0   -2147483642
  0.48  1      0.00    0.00    1      1    0   -2147483642
  0.50  1      0.00    0.00    1      1    0   -2147483642
  0.52  1      0.00    0.00    1      1    0   -2147483642
  0.54  1      0.00    0.00    1      1    0   -2147483642
  0.56  1      0.00    0.00    1      1    0   -2147483642
  0.58  1      0.00    0.00    1      1    0   -2147483642
  0.60  1      0.00    0.00    1      1    0   -2147483642
  0.62  1      0.00    0.00    1      1    0   -2147483642
  0.64  1      0.00    0.00    1      1    0   -2147483642
  0.66  1      0.00    0.00    1      1    0   -2147483642
  0.68  1      0.00    0.00    1      1    0   -2147483642
  0.70  1      0.00    0.00    1      1    0   -2147483642
  0.72  1      0.00    0.00    1      1    0   -2147483642
  0.74  1      0.00    0.00    1      1    0   -2147483642
  0.76  1      0.00    0.00    1      1    0   -2147483642
  0.78  1      0.00    0.00    1      1    0   -2147483642
  0.80  1      0.00    0.00    1      1    0   -2147483642
  0.82  1      0.00    0.00    1      1    0   -2147483642
  0.84  1      0.00    0.00    1      1    0   -2147483642
  0.86  1      0.00    0.00    1      1    0   -2147483642
  0.88  1      0.00    0.00    1      1    0   -2147483642
  0.90  1      0.00    0.00    1      1    0   -2147483642
  0.92  1      0.00    0.00    1      1    0   -2147483642
  0.94  1      0.00    0.00    1      1    0   -2147483642
  0.96  1      0.00    0.00    1      1    0   -2147483642
  0.98  1      0.00    0.00    1      1    0   -2147483642
